Half Adder:
A | B | S | Cout
0 | 0 | 0 | 0
0 | 1 | 1 | 0
1 | 0 | 1 | 0
1 | 1 | 0 | 1

Full Adder:
A | B |Cin| S | Cout
0 | 0 | 0 | 0 | 0
0 | 0 | 1 | 1 | 0
0 | 1 | 0 | 1 | 0
0 | 1 | 1 | 0 | 1
1 | 0 | 0 | 1 | 0
1 | 0 | 1 | 0 | 1
1 | 1 | 0 | 0 | 1
1 | 1 | 1 | 1 | 1

2-Bit Adder:
A1| B1| A2| B2|Cin| S1| S2| Cout
0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
0 | 0 | 0 | 0 | 1 | 1 | 0 | 0
0 | 0 | 0 | 1 | 0 | 0 | 1 | 0
0 | 0 | 0 | 1 | 1 | 1 | 1 | 0
0 | 0 | 1 | 0 | 0 | 0 | 1 | 0
0 | 0 | 1 | 0 | 1 | 1 | 1 | 0
0 | 0 | 1 | 1 | 0 | 0 | 0 | 1
0 | 0 | 1 | 1 | 1 | 1 | 0 | 1
0 | 1 | 0 | 0 | 0 | 1 | 0 | 0
0 | 1 | 0 | 0 | 1 | 0 | 1 | 0
0 | 1 | 0 | 1 | 0 | 1 | 1 | 0
0 | 1 | 0 | 1 | 1 | 0 | 0 | 1
0 | 1 | 1 | 0 | 0 | 1 | 1 | 0
0 | 1 | 1 | 0 | 1 | 0 | 0 | 1
0 | 1 | 1 | 1 | 0 | 1 | 0 | 1
0 | 1 | 1 | 1 | 1 | 0 | 1 | 1
1 | 0 | 0 | 0 | 0 | 1 | 0 | 0
1 | 0 | 0 | 0 | 1 | 0 | 1 | 0
1 | 0 | 0 | 1 | 0 | 1 | 1 | 0
1 | 0 | 0 | 1 | 1 | 0 | 0 | 1
1 | 0 | 1 | 0 | 0 | 1 | 1 | 0
1 | 0 | 1 | 0 | 1 | 0 | 0 | 1
1 | 0 | 1 | 1 | 0 | 1 | 0 | 1
1 | 0 | 1 | 1 | 1 | 0 | 1 | 1
1 | 1 | 0 | 0 | 0 | 0 | 1 | 0
1 | 1 | 0 | 0 | 1 | 1 | 1 | 0
1 | 1 | 0 | 1 | 0 | 0 | 0 | 1
1 | 1 | 0 | 1 | 1 | 1 | 0 | 1
1 | 1 | 1 | 0 | 0 | 0 | 0 | 1
1 | 1 | 1 | 0 | 1 | 1 | 0 | 1
1 | 1 | 1 | 1 | 0 | 0 | 1 | 1
1 | 1 | 1 | 1 | 1 | 1 | 1 | 1

Since the adder has a Carry-out, there will be no overflow. You're adding two 4-bit values into a 5-bit output.
The adder behaves as expected.
